 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  yes,  yes,  1,  1065.357,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  no,  no,  1,  2814.892,  0.50,  0.30,  0.70,  0.10,  -0.50,  0.40,  0 
 vs,  yes,  no,  0,  2854.414,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  no,  yes,  0,  1747.447,  0.70,  0.35,  0.60,  0.19,  -0.50,  0.54,  0 
 vs,  yes,  yes,  1,  2940.089,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  yes,  yes,  1,  1830.975,  0.30,  0.00,  0.70,  0.16,  -0.60,  0.16,  0 
 vs,  no,  yes,  0,  3645.447,  0.50,  0.10,  0.60,  -0.32,  -0.70,  -0.22,  0 
 vs,  yes,  yes,  1,  819.440,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  no,  no,  1,  4082.274,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  yes,  yes,  1,  815.513,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  yes,  yes,  1,  1087.001,  0.30,  0.30,  0.60,  -0.20,  -0.60,  0.10,  0 
 vs,  yes,  yes,  1,  1675.267,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  yes,  yes,  1,  1504.386,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  yes,  yes,  1,  1804.112,  0.30,  0.00,  0.70,  0.16,  -0.60,  0.16,  0 
 vs,  yes,  yes,  1,  1363.228,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  yes,  yes,  1,  3116.243,  0.50,  0.35,  0.60,  0.07,  -0.60,  0.43,  0 
 vs,  no,  no,  1,  2071.899,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
